Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-decay conv SMA100 e1% N5 d1% SL1.0% 2x,B-decay,2,3.566689353376895,17.402155810460304,0.43686405096687886,0.42489341537001846,0.03868474817908044,-92.19885151806815,1457.700350594796,39.98190506872852,3058,45.52304734189056,2.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% SL1.0% 3x,B-decay,3,1.6359258631835072,26.12244384569961,0.4239617350865957,0.41197762058179077,0.016571456478604946,-98.7194979086851,345.5981526788994,39.98190506872852,3058,45.52304734189056,3.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% SL2.0% 1x,B-decay,1,4.826020259261732,8.743605103799966,0.4138023009477059,0.4029528213871505,0.07020167814625453,-68.74508397373994,3673.975494592147,39.98190506872852,3058,45.393129969339505,1.0,conv,100,0.01,0.03,0.02,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% SL2.0% 2x,B-decay,2,3.557881939492069,17.421594801857005,0.4356854390673776,0.42439410859713134,0.03875077719119383,-91.81446663476474,1448.2493597237183,39.98190506872852,3058,45.393129969339505,2.0,conv,100,0.01,0.03,0.02,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d1% SL2.0% 3x,B-decay,3,1.6285054430458912,26.14694710541301,0.42274914230089256,0.4114805600842225,0.016513164331932756,-98.6186178682136,343.6735971150803,39.98190506872852,3058,45.393129969339505,3.0,conv,100,0.01,0.03,0.02,0.0,decay,5,0.01,Neither
B-decay conv SMA100 e1% N5 d2% 1x,B-decay,1,5.943843212429845,9.452225324803338,0.3030943454421922,0.31748213423978794,0.12373651082627944,-48.03629238240551,8269.364706783545,19.193406357388316,1468,37.92547939510471,1.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA100 e1% N5 d2% 2x,B-decay,2,5.493921985196892,18.841000293359695,0.3137484404675728,0.3282559792909466,0.06768900236689432,-81.16417428370738,5971.821598848019,19.193406357388316,1468,37.92547939510471,2.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA100 e1% N5 d2% 3x,B-decay,3,4.012380382602099,28.280090252047703,0.303758532265677,0.31792540799140806,0.04140729055618748,-96.90033635882341,2024.4525055279553,19.193406357388316,1468,37.92547939510471,3.0,conv,100,0.01,0.03,0.0,0.0,decay,5,0.02,Neither
B-decay conv SMA100 e1% N5 d2% SL1.0% 1x,B-decay,1,6.156892095232402,8.636511198667662,0.3471895657571645,0.328799063322964,0.10925088072878252,-56.35553740309892,9642.792561830196,19.193406357388316,1468,49.056799875279324,1.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.02,Neither
B-decay conv SMA100 e1% N5 d2% SL1.0% 2x,B-decay,2,6.009162287556724,17.21306596412367,0.3571629334701692,0.33802651416700774,0.07005061988785322,-85.78314220740698,8668.530655136032,19.193406357388316,1468,49.056799875279324,2.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.02,Neither
B-decay conv SMA100 e1% N5 d2% SL1.0% 3x,B-decay,3,4.854077325388917,25.833589833945453,0.34653940938538064,0.3281097092626118,0.04980062926753112,-97.4702006135827,3749.9516979177533,19.193406357388316,1468,49.056799875279324,3.0,conv,100,0.01,0.03,0.01,0.0,decay,5,0.02,Neither
